&,',(,),*
k,P,x,y,s
O,6,p,#,!
},`,R,D,m
g,V,h,X,i
W,X,F,9,u
v,b,(,~,*
G,#,c,&,9
_,M,A,O,E
X,},l,{,e
9,-,R,2,e
8,E,V,},V
e,-,N,L,J
1,>,-,b,w
L,{,(,`,D
#,G,T,H,A
P,+,B,L,f
5,7,c,{,(
6,6,O,Y,H
1,r,E,G,W
7,S,^,E,P
R,{,i,I,}
/,h,Q,Z,n
O,^,L,M,}
-,G,7,(,N
^,-,0,U,<
 ,p,},e,|
3,^,p,B,K
v,',B,_,R
:,3,1,N,v
(,%,i,!,+
K,E,9,#,U
h,g,9,V,#
@,k,Z,",",B
),s,>,T,=
#,!,;,p,m
U,q,g,5,k
N,X,R,~,?
o,U,L,F,)
L,u,[,a,.
+,A,i,},A
`,;,>,#,L
[,G,x,A,[
V,P,I,@,t
:,#,3,},|
>,+,R,1,<
F,f,!,V, 
d,Q,%,F,a
V,4,|,%,s
-,},k,y,3
f,B,g,|,>
V,_,@,s,=
U,r,B,7,S
d,>,#,x,m
Y,s,`,m,Y
T,O,L,",",N
-,`,[,[,H
m,:,6,J,%
},E,f,%,X
?,/,t,y,/
;,v,N,P,Z
m,",",6,c,`
X,-,8,|,2
6,i,],o,I
y,A,t,!,8
$,!,Y,a,~
*,Z,w,8,e
l,2,M,^,o
I,m,Z,B,>
R,"""",Z,R,-
M,W,(,@,H
l,),_,],p
D,0,|,<,k
&,a,d,X,A
(,_,F,n,""""
g,H,w,W,|
|,%,W,C,$
&,/,s,o,n
A,%,x,;,g
a,g,i,',?
0,V,',h,3
u,x,b,a,.
),~,_,A,2
Q,g,/,r,5
P,B,A,:,T
i,{,z,0,[
X,K,-,(,r
@,H,q,Z,t
8,q,),t,d
c,*,U,N,^
{,9,w,a,","
2,o,e,G,{
U,d,4,(,Z
>,j,S,.,W
m,I,.,W,z
k,z,r,J,j
N,y,!,"""",F
Z,i,',h,0
$,f,|,3,v
/,d,#,n,J
s,/,B,3,S
